posizione_finale,posizione_griglia,pilota,costruttore,numero_vettura,giri_completati,tempo_o_distacco,tempo_giro_veloce,stato,nazionalita
1,,Nino Farina,Alfa Romeo,,80,2:51:17.400,,,IT
2,,Dorino Serafini,Ferrari,,80,+1:18.600,,,IT
2,,Alberto Ascari,Ferrari,,80,,,,IT
3,,Luigi Fagioli,Alfa Romeo,,80,+1:35.600,,,IT
4,,Louis Rosier,Talbot-Lago,,75,+5 Laps,,,FR
5,,Philippe Etancelin,Talbot-Lago,,75,+5 Laps,,,FR
6,,Toulo de Graffenried,Maserati,,72,+8 Laps,,,CH
7,,Peter Whitehead,Ferrari,,72,+8 Laps,,,GB
,,David Murray,Maserati,,56,,,Gearbox,GB
,,Cuth Harrison,ERA,,51,,,Radiator,GB
,,Raymond Sommer,Talbot-Lago,,48,,,Gearbox,FR
,,Guy Mairesse,Talbot-Lago,,42,,,Oil pipe,FR
,,Franco Rol,Maserati,,39,,,Retired,IT
,,Juan Manuel Fangio,Alfa Romeo,,34,,,Engine,AR
,,Piero Taruffi,Alfa Romeo,,34,,,Engine,IT
,,Pierre Levegh,Talbot-Lago,,29,,,Gearbox,FR
,,Juan Manuel Fangio,Alfa Romeo,,23,,,Gearbox,AR
,,Johnny Claes,Talbot-Lago,,22,,,Overheating,BE
,,Alberto Ascari,Ferrari,,21,,,Engine,IT
,,Clemente Biondetti,Ferrari,,17,,,Engine,IT
,,Henri Louveau,Talbot-Lago,,16,,,Brakes,FR
,,Franco Comotti,Maserati,,15,,,Retired,IT
,,Maurice Trintignant,Simca,,13,,,Water pipe,FR
,,Louis Chiron,Maserati,,13,,,Oil pressure,MC
,,Consalvo Sanesi,Alfa Romeo,,11,,,Engine,IT
,,Robert Manzon,Simca,,7,,,Transmission,FR
,,Prince Bira,Maserati,,1,,,Engine,TH
,,Paul Pietsch,Maserati,,0,,,Engine,DE
,,Felice Bonetto,Milano,,0,,,Withdrew,IT
