posizione_finale,posizione_griglia,pilota,costruttore,numero_vettura,giri_completati,tempo_o_distacco,tempo_giro_veloce,stato,nazionalita
1,,Juan Manuel Fangio,Alfa Romeo,,100,3:13:18.700,,,AR
2,,Alberto Ascari,Ferrari,,99,+1 Lap,,,IT
3,,Louis Chiron,Maserati,,98,+2 Laps,,,MC
4,,Raymond Sommer,Ferrari,,97,+3 Laps,,,FR
5,,Prince Bira,Maserati,,95,+5 Laps,,,TH
6,,Bob Gerard,ERA,,94,+6 Laps,,,GB
7,,Johnny Claes,Talbot-Lago,,94,+6 Laps,,,BE
,,Luigi Villoresi,Ferrari,,63,,,Axle,IT
,,Philippe Etancelin,Talbot-Lago,,38,,,Oil leak,FR
,,José Froilán González,Maserati,,1,,,Accident,AR
,,Nino Farina,Alfa Romeo,,0,,,Accident,IT
,,Luigi Fagioli,Alfa Romeo,,0,,,Accident,IT
,,Louis Rosier,Talbot-Lago,,0,,,Accident,FR
,,Robert Manzon,Simca,,0,,,Accident,FR
,,Toulo de Graffenried,Maserati,,0,,,Accident,CH
,,Maurice Trintignant,Simca,,0,,,Accident,FR
,,Cuth Harrison,ERA,,0,,,Accident,GB
,,Franco Rol,Maserati,,0,,,Accident,IT
,,Harry Schell,Cooper,,0,,,Collision,US
,,Peter Whitehead,Ferrari,,0,,,Engine,GB
,,Alfredo Pián,Maserati,,0,,,Accident,AR
